what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1412723449267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1412723449267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412723449281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412723450714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412723454299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412723454571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412723455234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412723455858
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412723513733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412723516341
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1412723517523
error,log,,,"Problems saving workspace",1412723520846
error,log,,,"Problems occurred while trying to save the state of the workbench.",1412723520848
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1412723520981
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1412723521002
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1412723521221
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1412723521224
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1412723521239
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1412723521250
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1412723521258
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1412723521269
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1412723521269
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1412723521269
stopped,bundle,com.soyatec.eemf,3.7.1.20110624,"com.soyatec.eemf",1412723521281
stopped,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1412723521296
stopped,bundle,com.soyatec.core,3.7.1.20110624,"com.soyatec.core",1412723521306
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1412723521311
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.200.v201103302125,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1412723521324
stopped,bundle,com.android.ide.eclipse.ndk,22.0.5.v201307292155--757759,"com.android.ide.eclipse.ndk",1412723521324
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,22.0.5.v201307292155--757759,"overlay.com.android.ide.eclipse.adt.overlay",1412723521334
stopped,bundle,com.android.ide.eclipse.adt,22.0.5.v201307292155--757759,"com.android.ide.eclipse.adt",1412723521334
stopped,bundle,org.eclipse.cdt,8.0.2.201202111925,"org.eclipse.cdt",1412723521357
stopped,bundle,org.eclipse.cdt.doc.user,5.1.1.201202111925,"org.eclipse.cdt.doc.user",1412723521368
stopped,bundle,org.eclipse.emf.cheatsheets,2.5.0.v20120130-0943,"org.eclipse.emf.cheatsheets",1412723521376
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1412723521396
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1412723521411
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1412723521426
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1412723521441
